twoE,goldbach_count,normalized_R,is_power_of_two
54660,1013,2.205468,False
55020,1213,2.626780,False
55384,484,1.042483,False
55750,489,1.047600,False
56118,775,1.651406,False
56488,424,0.898640,False
56862,843,1.777073,False
57236,396,0.830321,False
57616,422,0.880063,False
57996,794,1.646977,False
58378,418,0.862406,False
58764,802,1.645771,False
59152,399,0.814386,False
59544,791,1.605784,False
59936,416,0.839987,False
60332,405,0.813381,False
60730,544,1.086678,False
61132,457,0.907973,False
61536,818,1.616473,False
61942,415,0.815690,False
62352,812,1.587403,False
62764,478,0.929430,False
63178,431,0.833542,False
63596,468,0.900223,False
64016,418,0.799722,False
64438,490,0.932439,False
64864,432,0.817642,False
65292,861,1.620846,False
65536,435,0.816395,True
65724,862,1.613981,False
66158,432,0.804511,False
66594,969,1.794870,False
67034,493,0.908262,False
67478,422,0.773259,False
67922,435,0.792804,False
68372,432,0.783083,False
68824,540,0.973577,False
69278,494,0.885851,False
69736,468,0.834701,False
70196,571,1.012926,False
70660,608,1.072746,False
71126,529,0.928336,False
71596,557,0.972202,False
72070,621,1.078052,False
72546,943,1.628215,False
73024,574,0.985756,False
73506,935,1.597063,False
73992,933,1.585042,False
74482,476,0.804286,False
74972,488,0.820131,False
75468,1032,1.725002,False
75966,1071,1.780539,False
76468,588,0.972272,False
76974,973,1.600178,False
77482,536,0.876741,False
77994,1185,1.927846,False
78508,517,0.836562,False
79028,523,0.841687,False
79550,719,1.150869,False
80076,995,1.584035,False
80604,1002,1.586575,False
81136,586,0.922867,False
81672,1056,1.654062,False
82212,1237,1.927088,False
82754,659,1.021098,False
83302,524,0.807520,False
83852,517,0.792426,False
84406,645,0.983269,False
84964,586,0.888491,False
85524,1031,1.554761,False
86090,720,1.079884,False
86658,1303,1.943729,False
87230,872,1.293758,False
87806,552,0.814553,False
88386,1087,1.595339,False
88970,932,1.360446,False
89558,669,0.971254,False
90150,1491,2.152904,False
90744,1171,1.681712,False
91344,1257,1.795432,False
91948,543,0.771387,False
92554,767,1.083713,False
93166,585,0.822078,False
93782,619,0.865139,False
94402,786,1.092586,False
95024,575,0.794962,False
95652,1177,1.618428,False
96284,585,0.800040,False
96920,788,1.071817,False
97560,1594,2.156365,False
98204,599,0.805936,False
98854,772,1.033057,False
99506,660,0.878400,False
100164,1321,1.748583,False
100826,682,0.897850,False
101492,620,0.811798,False
102162,1223,1.592651,False
102836,647,0.837988,False
103516,733,0.944215,False
104200,839,1.074890,False
104888,733,0.933991,False
105580,836,1.059456,False
106278,1286,1.620879,False
106980,1709,2.142330,False
107686,666,0.830338,False
108398,650,0.805983,False
109114,668,0.823802,False
109834,650,0.797253,False
110560,891,1.086906,False
111290,913,1.107692,False
112026,1320,1.592766,False
112766,657,0.788453,False
113510,894,1.067046,False
114260,918,1.089731,False
115014,1391,1.642244,False
115774,706,0.828983,False
116540,915,1.068536,False
117310,936,1.087112,False
118084,731,0.844401,False
118864,830,0.953542,False
119650,941,1.075174,False
120440,927,1.053415,False
121234,724,0.818262,False
122036,717,0.805932,False
122842,780,0.871973,False
123654,1472,1.636603,False
124470,1927,2.130825,False
125292,1485,1.633131,False
126120,1923,2.103297,False
126952,885,0.962709,False
127792,913,0.987747,False
128636,735,0.790842,False
129486,1774,1.898374,False
130340,1242,1.321843,False
131072,749,0.793452,True
131202,1570,1.661809,False
132068,752,0.791638,False
132940,1135,1.188315,False
133818,1534,1.597300,False
134702,777,0.804650,False
135592,824,0.848667,False
136488,1758,1.800747,False
137390,1154,1.175608,False
138296,797,0.807501,False
139210,1065,1.073141,False
140130,2136,2.140576,False
141056,874,0.871090,False
141986,887,0.879230,False
142924,825,0.813308,False
143868,1714,1.680485,False
144820,1209,1.178876,False
145776,1655,1.604956,False
146738,828,0.798581,False
147708,1844,1.768761,False
148684,861,0.821357,False
149666,925,0.877589,False
150654,2168,2.045648,False
151650,2278,2.137684,False
152652,1741,1.624829,False
153660,2493,2.313938,False
154674,1850,1.707745,False
155696,893,0.819825,False
156724,890,0.812605,False
157760,1320,1.198617,False
158802,2233,2.016572,False
159850,1253,1.125373,False
160906,913,0.815518,False
161970,2364,2.100030,False
163040,1203,1.062822,False
164116,910,0.799568,False
165200,1481,1.294155,False
166292,1077,0.935970,False
167390,1300,1.123587,False
168496,905,0.777906,False
169608,1919,1.640482,False
170728,918,0.780468,False
171856,1000,0.845527,False
172992,2045,1.719626,False
174134,960,0.802838,False
175284,1922,1.598546,False
176442,2299,1.901624,False
177608,954,0.784778,False
178780,1556,1.272988,False
179962,1052,0.855937,False
181150,1305,1.055969,False
182346,1975,1.589358,False
183552,1998,1.599042,False
184764,2037,1.621319,False
185984,988,0.782073,False
187212,2038,1.604382,False
188450,1342,1.050667,False
189694,1015,0.790299,False
190946,1321,1.022919,False
192208,1025,0.789354,False
193478,1036,0.793446,False
194756,1069,0.814228,False
196042,1494,1.131696,False
197338,1082,0.815107,False
198640,1541,1.154522,False
199952,1080,0.804698,False
200006,1071,0.797812,False
201274,1087,0.805463,False
202602,2124,1.565244,False
203942,1084,0.794442,False
205288,1124,0.819237,False
206644,1166,0.845182,False
208010,1711,1.233410,False
209384,1316,0.943455,False
210766,1199,0.854857,False
212158,1223,0.867178,False
213560,1587,1.119089,False
214970,1910,1.339457,False
216390,3041,2.120890,False
217820,1520,1.054266,False
219258,2497,1.722394,False
220706,1150,0.788892,False
222164,1125,0.767499,False
223632,2341,1.588293,False
225108,2623,1.769842,False
226596,2434,1.633276,False
228092,1196,0.798134,False
229600,1972,1.308740,False
231116,1281,0.845474,False
232642,1224,0.803410,False
234178,1503,0.981114,False
235726,1237,0.803029,False
237282,2455,1.584958,False
238850,1743,1.119091,False
240428,1215,0.775794,False
242016,2503,1.589400,False
243614,1471,0.928940,False
245224,1610,1.011117,False
246844,1437,0.897498,False
248474,1286,0.798766,False
250116,2716,1.677676,False
251768,1419,0.871689,False
253430,1698,1.037335,False
255104,1282,0.778878,False
256790,1730,1.045264,False
258486,2679,1.609729,False
260192,1355,0.809694,False
261912,3166,1.881438,False
262144,1314,0.780282,True
263642,1397,0.825609,False
265382,1477,0.868079,False
267136,1344,0.785552,False
268900,1827,1.061973,False
270676,1651,0.954377,False
272464,1376,0.791023,False
274264,1402,0.801523,False
276076,1393,0.791983,False
277898,1410,0.797229,False
279734,1954,1.098714,False
281582,1681,0.939992,False
283442,1465,0.814686,False
285314,1414,0.781985,False
287198,1505,0.827718,False
289096,1479,0.808925,False
291006,3132,1.703558,False
292928,1533,0.829226,False
294862,1485,0.798828,False
296810,2014,1.077409,False
298770,4097,2.179626,False
300744,2936,1.553337,False
302730,3952,2.079320,False
304730,2107,1.102458,False
306744,3035,1.579241,False
308770,2719,1.406995,False
310808,1525,0.784780,False
312862,1743,0.892005,False
314928,3076,1.565486,False
317008,1562,0.790563,False
319102,1968,0.990541,False
321210,4337,2.170844,False
323332,1595,0.793946,False
325468,1905,0.943011,False
327618,3229,1.589574,False
329782,1615,0.790635,False
331960,2188,1.065226,False
334152,4540,2.198071,False
336360,4381,2.109349,False
338582,1767,0.846061,False
340818,3319,1.580384,False
343068,3849,1.822611,False
345334,1867,0.879184,False
347616,3612,1.691497,False
349912,1677,0.780990,False
352224,3379,1.564907,False
354550,2761,1.271615,False
356892,3449,1.579686,False
359248,1753,0.798452,False
361622,1717,0.777721,False
364010,2387,1.075212,False
366414,3508,1.571407,False
368836,2012,0.896277,False
371272,1974,0.874478,False
373724,1939,0.854213,False
376192,1776,0.778069,False
378678,3596,1.566679,False
381178,2290,0.992163,False
383696,1819,0.783729,False
386230,2690,1.152580,False
388782,3728,1.588470,False
391350,4941,2.093645,False
393934,1894,0.798094,False
396536,2291,0.960027,False
399156,4150,1.729379,False
401792,1964,0.813894,False
404446,2287,0.942489,False
407118,3771,1.545432,False
409806,3867,1.575985,False
412514,1944,0.787873,False
415238,1918,0.773023,False
417982,1966,0.787968,False
420742,2454,0.978100,False
423522,4756,1.885089,False
426318,4088,1.611329,False
429134,2235,0.876058,False
431970,7584,2.956200,False
434822,2008,0.778362,False
437694,4037,1.556173,False
440586,4214,1.615377,False
443496,4365,1.663966,False
446426,2188,0.829445,False
449374,2170,0.818052,False
452342,2392,0.896732,False
455330,2776,1.034905,False
458338,2143,0.794479,False
461366,2114,0.779371,False
464412,4664,1.709929,False
467480,3285,1.197660,False
470568,5154,1.868621,False
473676,5241,1.889599,False
476804,2220,0.795953,False
479954,2183,0.778333,False
483124,2204,0.781450,False
486316,2214,0.780629,False
489528,4887,1.713510,False
492762,4778,1.665971,False
496016,2335,0.809628,False
499292,2254,0.777194,False
502590,6741,2.311408,False
505910,3054,1.041351,False
509252,2451,0.831089,False
512616,5350,1.803988,False
516002,2525,0.846675,False
519410,3117,1.039365,False
522840,6248,2.071800,False
524288,2367,0.783045,True
526294,2384,0.786118,False
529770,6301,2.066170,False
533270,3214,1.048037,False
536792,2553,0.827858,False
540338,2501,0.806478,False
543906,5617,1.801184,False
547500,6571,2.095357,False
551116,2533,0.803222,False
554756,2482,0.782664,False
558420,6861,2.151465,False
562108,2499,0.779267,False
565822,2550,0.790737,False
569560,3497,1.078350,False
573322,2558,0.784399,False
577108,3106,0.947131,False
580920,7124,2.160252,False
584758,2688,0.810552,False
588620,3691,1.106795,False
592508,3133,0.934232,False
